# Constructed from biom file
#OTU ID	SRR12442322	SRR12442323	SRR12442324	SRR12442325	SRR12442331	SRR12442342	SRR12442353	SRR12442354	taxonomy
AY620352.1.1266	0.0	2.0	0.0	0.0	0.0	4.0	21.0	23.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Protaspa; s__uncultured_Cercozoa
DQ386748.1.1523	7.0	40.0	9.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodinium_clade; g__Paragymnodinium; s__uncultured_eukaryote
KF130213.1.1750	3.0	3.0	0.0	0.0	0.0	1.0	3.0	45.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales
KU743755.1.1795	10.0	23.0	0.0	0.0	2.0	3.0	7.0	10.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Chrysochromulinaceae; g__Chrysochromulina; s__uncultured_eukaryote
KX611425.1.1570	9.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros; s__Chaetoceros_mannaii
AY775284.1.1790	14.0	34.0	1.0	0.0	0.0	4.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__Amoebophrya_sp.
KF130513.1.1764	17.0	28.0	0.0	1.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Cercozoa; c__Chlorarachniophyta; o__Chlorarachniophyta; f__Chlorarachniophyta; g__Minorisa; s__uncultured_eukaryote
KJ763888.1.1810	44.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Retaria; c__Polycystinea; o__Spumellaria; f__Spumellaria; g__Larcopyle; s__Larcopyle_butschlii
MH071711.1.1679	8.0	9.0	8.0	0.0	0.0	3.0	2.0	27.0	d__Eukaryota; p__Chlorophyta; c__Chlorodendrophyceae; o__Chlorodendrales; f__Chlorodendrales; g__Tetraselmis; s__Tetraselmis_sp.
AY665034.1.1752	7.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_eukaryote
KJ763326.1.1799	33.0	16.0	0.0	2.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
KF130428.1.1753	6.0	6.0	3.0	2.0	25.0	0.0	0.0	6.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales
KJ760603.1.1795	17.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II
KJ763037.1.1797	17.0	10.0	1.0	11.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodiniphycidae; g__Gyrodinium; s__uncultured_eukaryote
EF526976.1.1804	0.0	2.0	0.0	0.0	0.0	1.0	0.0	41.0	d__Eukaryota; p__Chlorophyta
JQ782067.1.1801	3.0	0.0	3.0	36.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Coscinodiscophytina; f__Rhizosolenids; g__Leptocylindrus; s__uncultured_stramenopile
AY885027.1.1271	7.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__uncultured_MALV-2_Guillou_II.39
AB252746.1.1726	9.0	16.0	6.0	0.0	0.0	8.0	9.0	23.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured; s__uncultured_Rhizaria
GU823144.1.1205	0.0	1.0	37.0	0.0	0.0	7.0	0.0	4.0	d__Eukaryota; p__Diatomea; c__Bacillariophyceae; o__Bacillariophyceae; f__Bacillariophyceae; g__Pseudo-nitzschia; s__uncultured_stramenopile
KC582902.1.1792	0.0	0.0	0.0	0.0	33.0	2.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I
KM067425.1.1568	15.0	8.0	0.0	0.0	0.0	1.0	3.0	15.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Cryothecomonas
KM870758.1.1730	2.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Sphaeropleales; f__Sphaeropleales; g__Dictyococcus; s__uncultured_eukaryote
FLMP01003835.956.2747	5.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros; s__seawater_metagenome
AB246744.1.1758	2.0	0.0	40.0	0.0	0.0	0.0	0.0	5.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Peridiniales; f__Peridiniales; g__Blixaea; s__Blixaea_quinquecornis
AY426835.1.1803	1.0	2.0	13.0	11.0	12.0	0.0	0.0	0.0	d__Eukaryota; p__Picozoa; c__Picozoa; o__Picozoa; f__Picozoa; g__Picozoa; s__uncultured_marine
AB466287.1.1730	39.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniales; f__Polykrikaceae; g__Polykrikos; s__Polykrikos_schwartzii
JF791085.1.1777	10.0	18.0	2.0	0.0	0.0	0.0	2.0	4.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Kareniaceae; g__Karlodinium; s__uncultured_dinoflagellate
